duplicate_group,filename,category,splits
49,002275.jpg,CROSS_SPLIT_LEAKAGE,test
49,002276.jpg,CROSS_SPLIT_LEAKAGE,train
50,002350.jpg,CROSS_SPLIT_LEAKAGE,train
50,002351.jpg,CROSS_SPLIT_LEAKAGE,val
51,002375.jpg,CROSS_SPLIT_LEAKAGE,train
51,002376.jpg,CROSS_SPLIT_LEAKAGE,val
52,002408.jpg,same_split,train
52,002409.jpg,same_split,train
53,002410.jpg,same_split,train
53,002411.jpg,same_split,train
54,002412.jpg,same_split,train
54,002413.jpg,same_split,train
55,002416.jpg,same_split,train
55,002417.jpg,same_split,train
56,002418.jpg,CROSS_SPLIT_LEAKAGE,train
56,002419.jpg,CROSS_SPLIT_LEAKAGE,val
57,002421.jpg,CROSS_SPLIT_LEAKAGE,val
57,002422.jpg,CROSS_SPLIT_LEAKAGE,train
58,002424.jpg,CROSS_SPLIT_LEAKAGE,val
58,002425.jpg,CROSS_SPLIT_LEAKAGE,train
59,002428.jpg,CROSS_SPLIT_LEAKAGE,val
59,002429.jpg,CROSS_SPLIT_LEAKAGE,test
60,002448.jpg,CROSS_SPLIT_LEAKAGE,test
60,002449.jpg,CROSS_SPLIT_LEAKAGE,train
61,002465.jpg,CROSS_SPLIT_LEAKAGE,test
61,002466.jpg,CROSS_SPLIT_LEAKAGE,train
62,002502.jpg,CROSS_SPLIT_LEAKAGE,train
62,002503.jpg,CROSS_SPLIT_LEAKAGE,test
63,002640.jpg,same_split,train
63,002641.jpg,same_split,train
64,002653.jpg,CROSS_SPLIT_LEAKAGE,test
64,003579.jpg,CROSS_SPLIT_LEAKAGE,train
65,002654.jpg,same_split,train
65,003582.jpg,same_split,train
66,002655.jpg,same_split,train
66,003583.jpg,same_split,train
67,002686.jpg,CROSS_SPLIT_LEAKAGE,test
67,002687.jpg,CROSS_SPLIT_LEAKAGE,train
68,002691.jpg,same_split,train
68,002692.jpg,same_split,train
69,002718.jpg,same_split,train
69,002719.jpg,same_split,train
70,002867.jpg,same_split,train
70,002873.jpg,same_split,train
71,002879.jpg,same_split,train
71,002880.jpg,same_split,train
72,002903.jpg,CROSS_SPLIT_LEAKAGE,val
72,002904.jpg,CROSS_SPLIT_LEAKAGE,train
73,002939.jpg,CROSS_SPLIT_LEAKAGE,test
73,002940.jpg,CROSS_SPLIT_LEAKAGE,train
74,003001.jpg,CROSS_SPLIT_LEAKAGE,test
74,003002.jpg,CROSS_SPLIT_LEAKAGE,train
75,003065.jpg,CROSS_SPLIT_LEAKAGE,train
75,003086.jpg,CROSS_SPLIT_LEAKAGE,val
76,003067.jpg,same_split,train
76,003068.jpg,same_split,train
77,003102.jpg,same_split,train
77,003103.jpg,same_split,train
78,003196.jpg,same_split,train
78,003197.jpg,same_split,train
79,003222.jpg,CROSS_SPLIT_LEAKAGE,val
79,003223.jpg,CROSS_SPLIT_LEAKAGE,train
80,003229.jpg,same_split,train
80,003230.jpg,same_split,train
81,003301.jpg,CROSS_SPLIT_LEAKAGE,train
81,003302.jpg,CROSS_SPLIT_LEAKAGE,test
82,003303.jpg,same_split,train
82,003304.jpg,same_split,train
82,003305.jpg,same_split,train
83,003312.jpg,same_split,test
83,003313.jpg,same_split,test
84,003382.jpg,CROSS_SPLIT_LEAKAGE,train
84,003383.jpg,CROSS_SPLIT_LEAKAGE,test
85,003487.jpg,CROSS_SPLIT_LEAKAGE,train
85,003488.jpg,CROSS_SPLIT_LEAKAGE,val
86,003512.jpg,same_split,train
86,003513.jpg,same_split,train
87,003532.jpg,same_split,train
87,003533.jpg,same_split,train
88,003781.jpg,CROSS_SPLIT_LEAKAGE,test
88,004532.jpg,CROSS_SPLIT_LEAKAGE,train
89,003782.jpg,CROSS_SPLIT_LEAKAGE,test
89,004518.jpg,CROSS_SPLIT_LEAKAGE,val
90,003783.jpg,same_split,train
90,004514.jpg,same_split,train
91,003819.jpg,same_split,train
91,003820.jpg,same_split,train
92,003823.jpg,CROSS_SPLIT_LEAKAGE,train
92,003824.jpg,CROSS_SPLIT_LEAKAGE,val
93,003935.jpg,CROSS_SPLIT_LEAKAGE,train
93,003936.jpg,CROSS_SPLIT_LEAKAGE,test
93,003937.jpg,CROSS_SPLIT_LEAKAGE,train
94,003938.jpg,same_split,train
94,003939.jpg,same_split,train
94,003940.jpg,same_split,train
95,003941.jpg,CROSS_SPLIT_LEAKAGE,train
95,003942.jpg,CROSS_SPLIT_LEAKAGE,test
96,003964.jpg,same_split,train
96,003965.jpg,same_split,train
97,003989.jpg,same_split,test
97,003990.jpg,same_split,test
98,003991.jpg,CROSS_SPLIT_LEAKAGE,train
98,003992.jpg,CROSS_SPLIT_LEAKAGE,test
99,004055.jpg,same_split,train
99,004056.jpg,same_split,train
100,004086.jpg,same_split,train
100,004087.jpg,same_split,train
101,004171.jpg,same_split,train
101,004173.jpg,same_split,train
102,004172.jpg,same_split,train
102,004174.jpg,same_split,train
103,004229.jpg,CROSS_SPLIT_LEAKAGE,train
103,004230.jpg,CROSS_SPLIT_LEAKAGE,test
104,004336.jpg,CROSS_SPLIT_LEAKAGE,test
104,004337.jpg,CROSS_SPLIT_LEAKAGE,train
105,004486.jpg,same_split,test
105,004487.jpg,same_split,test
106,004489.jpg,CROSS_SPLIT_LEAKAGE,test
106,004490.jpg,CROSS_SPLIT_LEAKAGE,train
107,004494.jpg,same_split,train
107,004495.jpg,same_split,train
108,004496.jpg,same_split,test
108,004497.jpg,same_split,test
109,004521.jpg,same_split,test
109,004522.jpg,same_split,test
110,004537.jpg,CROSS_SPLIT_LEAKAGE,train
110,004538.jpg,CROSS_SPLIT_LEAKAGE,val
111,004571.jpg,same_split,train
111,004572.jpg,same_split,train
112,004576.jpg,CROSS_SPLIT_LEAKAGE,val
112,004577.jpg,CROSS_SPLIT_LEAKAGE,train
113,004578.jpg,same_split,train
113,004579.jpg,same_split,train
114,004603.jpg,same_split,train
114,004604.jpg,same_split,train
115,004627.jpg,CROSS_SPLIT_LEAKAGE,train
115,004628.jpg,CROSS_SPLIT_LEAKAGE,test
116,004737.jpg,same_split,train
116,004738.jpg,same_split,train
117,004871.jpg,same_split,val
117,004872.jpg,same_split,val
118,004878.jpg,same_split,train
118,004879.jpg,same_split,train
119,004957.jpg,CROSS_SPLIT_LEAKAGE,val
119,004958.jpg,CROSS_SPLIT_LEAKAGE,train
