duplicate_group,md5,image_id,split,class,width,height,xmin,ymin,xmax,ymax,bbox_area,annotation_identical_within_group
25,28ffa620ac395fe3e8a3f214412b86f7,001657,test,Malignant,718,500,291,99,425,250,20234,NO
26,ca0b235bafe057e2de11a1d8e7e7aaad,001884,val,Malignant,718,500,357,99,411,163,3456,NO
26,ca0b235bafe057e2de11a1d8e7e7aaad,001893,train,Malignant,718,500,474,125,586,245,13440,NO
27,6c122fc3282e0789f562316f886de2dc,001940,train,Benign,718,500,366,97,524,185,13904,NO
27,6c122fc3282e0789f562316f886de2dc,001941,test,Benign,718,500,94,86,160,139,3498,NO
28,c8087505ce83743697195c879348bf75,002068,train,Malignant,718,500,133,122,361,425,69084,NO
28,c8087505ce83743697195c879348bf75,002069,test,Malignant,718,500,354,222,522,377,26040,NO
29,55a86063d0d03d1853d7cbde1647dfd1,002070,train,Malignant,718,500,182,117,438,426,79104,NO
29,55a86063d0d03d1853d7cbde1647dfd1,002071,test,Malignant,718,500,451,206,592,356,21150,NO
30,7f6ae1d79b00e6442f4bc3f04c13edb0,002072,test,Malignant,718,500,275,86,522,360,67678,NO
30,7f6ae1d79b00e6442f4bc3f04c13edb0,002073,train,Malignant,718,500,457,284,619,426,23004,NO
31,b03f1fda8bfe35e714ce725a7adcf73f,002114,val,Malignant,718,500,492,149,609,251,11934,NO
31,b03f1fda8bfe35e714ce725a7adcf73f,002115,train,Malignant,718,500,134,111,375,270,38319,NO
32,de8032a55d39c7c2c2dffa2c9cc19e60,002122,train,Malignant,818,628,405,178,483,248,5460,NO
32,de8032a55d39c7c2c2dffa2c9cc19e60,002124,test,Malignant,818,628,411,176,490,243,5293,NO
33,898640f235094d37d98a0551e5bb473b,002275,test,Malignant,718,500,283,158,444,281,19803,NO
33,898640f235094d37d98a0551e5bb473b,002276,train,Malignant,718,500,185,146,239,237,4914,NO
34,ca1c387a7a432cc287fd3447d35d44b2,002350,train,Benign,439,368,145,124,253,213,9612,NO
34,ca1c387a7a432cc287fd3447d35d44b2,002351,val,Benign,439,368,98,163,134,198,1260,NO
35,2d37390aa1489b14bd82ed9d830accdc,002375,train,Benign,718,500,442,92,544,143,5202,NO
35,2d37390aa1489b14bd82ed9d830accdc,002376,val,Benign,718,500,556,153,639,201,3984,NO
36,2480a34f210fa59b62d4d2a8bb5622ce,002418,train,Benign,718,500,319,224,458,315,12649,NO
36,2480a34f210fa59b62d4d2a8bb5622ce,002419,val,Benign,718,500,430,121,503,183,4526,NO
37,90939bc15f5afefae1b52a8e3c18c7e7,002421,val,Benign,718,500,355,106,404,142,1764,NO
37,90939bc15f5afefae1b52a8e3c18c7e7,002422,train,Benign,718,500,416,121,586,221,17000,NO
38,c195a4954400d9d2d4323286d0c833dc,002424,val,Benign,718,500,211,68,276,100,2080,NO
38,c195a4954400d9d2d4323286d0c833dc,002425,train,Benign,718,500,332,111,504,249,23736,NO
39,da2b57d368ed1127a2a89ebb2035329a,002428,val,Benign,718,500,372,193,413,226,1353,NO
39,da2b57d368ed1127a2a89ebb2035329a,002429,test,Benign,718,500,405,165,456,210,2295,NO
40,b20fb1f711c230ae98a26f7a99d3b57e,002448,test,Benign,718,500,310,284,376,367,5478,NO
40,b20fb1f711c230ae98a26f7a99d3b57e,002449,train,Benign,718,500,403,279,442,338,2301,NO
41,a72465cf1efabc1b2b566519043b1eb1,002465,test,Benign,718,500,528,258,622,317,5546,NO
41,a72465cf1efabc1b2b566519043b1eb1,002466,train,Benign,718,500,643,283,718,353,5250,NO
42,84df3490408090a5192ce750f0a16930,002502,train,Malignant,718,500,142,138,413,366,61788,NO
42,84df3490408090a5192ce750f0a16930,002503,test,Malignant,718,500,370,129,518,243,16872,NO
43,9abf8400edbfb89a44596d6bd572e7dd,002653,test,Malignant,718,500,278,56,456,171,20470,NO
43,9abf8400edbfb89a44596d6bd572e7dd,003579,train,Malignant,718,500,280,61,462,176,20930,NO
44,7e9a8cac13ac45de697c3b0ad7b9da59,002686,test,Malignant,718,500,285,94,380,188,8930,NO
44,7e9a8cac13ac45de697c3b0ad7b9da59,002687,train,Malignant,718,500,420,109,508,189,7040,NO
45,7fcf7d7bdaa760593091d7ea150203a5,002903,val,Benign,718,500,130,137,189,194,3363,NO
45,7fcf7d7bdaa760593091d7ea150203a5,002904,train,Benign,718,500,305,264,477,369,18060,NO
46,f54530adcbee5c648329f3a6b5c39bff,002939,test,Benign,718,500,209,163,280,226,4473,NO
46,f54530adcbee5c648329f3a6b5c39bff,002940,train,Benign,718,500,281,143,336,211,3740,NO
47,a116a64761dd5c1e56e904f1054368b3,003001,test,Malignant,718,500,484,51,617,159,14364,NO
47,a116a64761dd5c1e56e904f1054368b3,003002,train,Malignant,718,500,185,24,433,187,40424,NO
48,1214f5ec0e7705b05eaa6a81a00c82b3,003065,train,Benign,718,500,383,165,504,231,7986,NO
48,1214f5ec0e7705b05eaa6a81a00c82b3,003086,val,Benign,718,500,117,139,206,187,4272,NO
49,e6a06682570927f8bf76c4f14f8b6c29,003222,val,Malignant,718,500,156,93,229,160,4891,NO
49,e6a06682570927f8bf76c4f14f8b6c29,003223,train,Malignant,718,500,227,71,625,266,77610,NO
50,c4c75562fa5c6c64883c63d318f8c9de,003301,train,Malignant,718,500,76,114,353,278,45428,NO
50,c4c75562fa5c6c64883c63d318f8c9de,003302,test,Malignant,718,500,409,129,541,216,11484,NO
51,4a340e894c96a3e294c528b7479a8f74,003382,train,Malignant,718,500,28,142,344,312,53720,NO
51,4a340e894c96a3e294c528b7479a8f74,003383,test,Malignant,718,500,321,258,562,381,29643,NO
52,9c715102ae02b22c70b138b0a09a5753,003487,train,Benign,718,500,477,167,566,222,4895,NO
52,9c715102ae02b22c70b138b0a09a5753,003488,val,Benign,718,500,277,123,380,175,5356,NO
53,9653026193e09e490923986d2e43b5ae,003781,test,Malignant,718,500,119,198,323,412,43656,NO
53,9653026193e09e490923986d2e43b5ae,004532,train,Malignant,718,500,117,189,325,426,49296,NO
54,048b72e7bf032acae174525d448cefe1,003782,test,Malignant,718,500,125,210,374,447,59013,NO
54,048b72e7bf032acae174525d448cefe1,004518,val,Malignant,718,500,110,197,376,449,67032,NO
55,8a460f4df35ed5d94eb4b7c72505049e,003823,train,Malignant,718,500,199,75,529,270,64350,NO
55,8a460f4df35ed5d94eb4b7c72505049e,003824,val,Malignant,718,500,90,148,168,231,6474,NO
56,4a01adcb753066657712149a7cda48ef,003935,train,Malignant,718,500,183,216,243,283,4020,NO
56,4a01adcb753066657712149a7cda48ef,003936,test,Malignant,718,500,94,109,201,195,9202,NO
56,4a01adcb753066657712149a7cda48ef,003937,train,Malignant,718,500,253,122,562,341,67671,NO
57,25e03002cb913da8931c66a5991cf9c2,003941,train,Malignant,718,500,384,223,450,315,6072,NO
57,25e03002cb913da8931c66a5991cf9c2,003942,test,Malignant,718,500,425,106,603,267,28658,NO
58,fb679ec2f98694741c610648eadb6119,003991,train,Malignant,718,500,311,70,468,228,24806,NO
58,fb679ec2f98694741c610648eadb6119,003992,test,Malignant,718,500,95,129,173,195,5148,NO
59,6873a6542719de05d465ec8aea99cd93,004229,train,Malignant,718,500,209,95,315,215,12720,NO
59,6873a6542719de05d465ec8aea99cd93,004230,test,Malignant,718,500,11,89,104,147,5394,NO
60,fadd66396d2ca8e20c1300d43c84d0da,004336,test,Malignant,498,429,168,127,265,219,8924,NO
60,fadd66396d2ca8e20c1300d43c84d0da,004337,train,Malignant,498,429,40,159,196,251,14352,NO
61,52349491ceec5be1135ee756f962c6f9,004489,test,Malignant,718,500,188,156,350,296,22680,NO
61,52349491ceec5be1135ee756f962c6f9,004490,train,Malignant,718,500,377,190,454,290,7700,NO
62,df278540687c35e37e85898b570debf3,004537,train,Malignant,718,500,253,38,337,97,4956,NO
62,df278540687c35e37e85898b570debf3,004538,val,Malignant,718,500,522,93,623,168,7575,NO
63,c1d7d14765f0895ec161eabe3f2325af,004576,val,Malignant,718,500,264,144,352,227,7304,NO
63,c1d7d14765f0895ec161eabe3f2325af,004577,train,Malignant,718,500,422,133,514,215,7544,NO
64,79574e85ccaedfbffbae1d64416bcf01,004627,train,Benign,718,500,579,94,653,174,5920,NO
64,79574e85ccaedfbffbae1d64416bcf01,004628,test,Benign,718,500,287,210,425,310,13800,NO
65,bbee95a64b742c99e9f8bbce832434aa,004957,val,Malignant,718,500,84,13,292,170,32656,NO
65,bbee95a64b742c99e9f8bbce832434aa,004958,train,Malignant,718,500,295,57,481,226,31434,NO
