image_id,label,xmin,ymin,xmax,ymax,bbox_width,bbox_height,bbox_area
000198,0,406,146,515,253,109,107,11663
000199,0,198,156,268,195,70,39,2730
000200,1,335,108,447,201,112,93,10416
000201,0,337,166,395,219,58,53,3074
000202,0,174,92,406,242,232,150,34800
000203,0,106,69,507,344,401,275,110275
000204,0,65,52,604,346,539,294,158466
000205,0,331,107,533,251,202,144,29088
000206,0,285,103,443,224,158,121,19118
000207,0,315,169,390,220,75,51,3825
000208,0,376,179,488,260,112,81,9072
000209,0,54,51,685,382,631,331,208861
000210,0,110,59,588,393,478,334,159652
000211,0,168,69,623,355,455,286,130130
000212,0,110,82,424,357,314,275,86350
000213,0,279,141,376,239,97,98,9506
000214,0,232,162,327,218,95,56,5320
000215,0,410,153,474,193,64,40,2560
000216,0,23,66,648,451,625,385,240625
000217,0,430,133,554,210,124,77,9548
000218,0,202,159,305,227,103,68,7004
000219,0,327,142,432,198,105,56,5880
000220,0,427,122,487,157,60,35,2100
000221,0,354,249,451,297,97,48,4656
000222,0,359,108,558,274,199,166,33034
000223,0,259,110,464,273,205,163,33415
000224,0,270,186,408,303,138,117,16146
000225,0,295,179,422,296,127,117,14859
000226,0,343,192,425,304,82,112,9184
000227,0,152,200,244,261,92,61,5612
000228,0,182,141,504,386,322,245,78890
000229,0,203,137,299,220,96,83,7968
000230,0,350,142,438,227,88,85,7480
000231,0,395,133,553,218,158,85,13430
000232,0,434,138,505,216,71,78,5538
000233,0,285,133,392,221,107,88,9416
000234,0,242,150,315,201,73,51,3723
000235,0,256,46,489,151,233,105,24465
000236,0,223,179,290,214,67,35,2345
000237,0,158,103,580,372,422,269,113518
000238,0,448,201,512,245,64,44,2816
000239,0,143,64,608,441,465,377,175305
000240,1,311,96,424,220,113,124,14012
000241,0,100,56,564,355,464,299,138736
000242,0,63,99,481,266,418,167,69806
000243,0,303,186,464,284,161,98,15778
000244,0,310,165,441,264,131,99,12969
000245,0,319,165,427,267,108,102,11016
000246,0,520,130,570,182,50,52,2600
000247,0,276,265,382,333,106,68,7208
000248,0,294,229,377,281,83,52,4316
000249,1,326,94,453,218,127,124,15748
000250,1,95,81,369,244,274,163,44662
000251,1,125,61,302,220,177,159,28143
000252,0,440,134,509,205,69,71,4899
000253,0,323,166,380,264,57,98,5586
000254,0,371,197,535,287,164,90,14760
000255,0,529,134,575,189,46,55,2530
000256,0,356,96,461,165,105,69,7245
000257,1,167,95,393,292,226,197,44522
000258,1,167,110,398,295,231,185,42735
000259,0,167,211,324,356,157,145,22765
000260,0,140,232,270,333,130,101,13130
000261,0,194,70,578,366,384,296,113664
000262,0,285,65,614,319,329,254,83566
000263,1,120,121,366,300,246,179,44034
000264,1,137,144,332,320,195,176,34320
000265,0,252,60,396,142,144,82,11808
000266,0,187,109,435,322,248,213,52824
000267,0,312,281,434,386,122,105,12810
000268,0,318,89,433,177,115,88,10120
000269,0,239,74,355,182,116,108,12528
000270,1,233,184,306,302,73,118,8614
000271,0,313,91,416,161,103,70,7210
000272,0,297,117,422,192,125,75,9375
000273,0,303,95,420,156,117,61,7137
000274,0,390,173,433,218,43,45,1935
000275,0,361,95,476,173,115,78,8970
000276,0,237,100,472,189,235,89,20915
000277,0,121,85,241,154,120,69,8280
000278,0,384,126,422,153,38,27,1026
000279,0,307,118,387,180,80,62,4960
000280,0,264,113,350,175,86,62,5332
000281,0,387,143,477,201,90,58,5220
000282,0,291,179,387,253,96,74,7104
000283,0,185,44,536,363,351,319,111969
000284,0,223,170,319,245,96,75,7200
000285,0,198,80,441,274,243,194,47142
000286,0,292,125,390,193,98,68,6664
000287,0,167,73,551,435,384,362,139008
000288,0,216,87,562,404,346,317,109682
000289,0,408,135,562,213,154,78,12012
000290,0,308,173,395,264,87,91,7917
000291,1,140,170,215,299,75,129,9675
000292,0,19,114,475,389,456,275,125400
000293,0,176,184,272,298,96,114,10944
000294,0,148,196,213,242,65,46,2990
000295,0,199,105,492,438,293,333,97569
000296,0,292,122,530,440,238,318,75684
000297,1,133,115,303,247,170,132,22440
000298,1,159,68,288,241,129,173,22317
000299,0,240,173,531,351,291,178,51798
000300,0,363,167,584,356,221,189,41769
000301,0,468,96,741,411,273,315,85995
000302,0,476,124,571,204,95,80,7600
000303,0,254,99,680,400,426,301,128226
000304,0,103,118,602,345,499,227,113273
000305,0,319,74,393,135,74,61,4514
000306,0,425,116,508,179,83,63,5229
000307,0,57,88,594,308,537,220,118140
000308,0,337,189,395,236,58,47,2726
000309,0,222,161,294,232,72,71,5112
000310,0,269,193,417,289,148,96,14208
000311,0,84,107,649,430,565,323,182495
000312,0,129,109,540,441,411,332,136452
000313,0,367,139,440,180,73,41,2993
000314,0,85,39,638,344,553,305,168665
000315,0,212,38,619,345,407,307,124949
000316,0,349,61,625,270,276,209,57684
000317,0,198,90,584,360,386,270,104220
000318,0,255,115,505,267,250,152,38000
000319,0,186,72,613,306,427,234,99918
000320,0,339,122,477,189,138,67,9246
000321,1,75,119,200,231,125,112,14000
000322,1,143,110,282,221,139,111,15429
000323,0,102,108,580,426,478,318,152004
000324,0,78,83,528,395,450,312,140400
000325,0,215,51,333,147,118,96,11328
000326,0,385,155,489,264,104,109,11336
000327,0,348,103,413,135,65,32,2080
000328,0,354,170,451,287,97,117,11349
000329,0,436,159,522,295,86,136,11696
000330,0,354,98,435,138,81,40,3240
000331,0,341,240,388,260,47,20,940
000332,0,215,280,266,319,51,39,1989
000333,0,239,95,420,211,181,116,20996
000334,0,235,139,321,219,86,80,6880
000335,0,200,104,344,164,144,60,8640
000336,0,170,73,354,185,184,112,20608
000337,0,213,66,393,178,180,112,20160
000338,0,165,81,265,142,100,61,6100
000339,0,302,149,543,295,241,146,35186
000340,0,274,116,488,273,214,157,33598
000341,0,151,87,640,335,489,248,121272
000342,0,412,247,471,296,59,49,2891
000343,0,353,99,464,169,111,70,7770
000344,0,331,127,519,242,188,115,21620
000345,0,283,259,433,348,150,89,13350
000346,0,369,147,446,221,77,74,5698
000347,0,489,127,577,213,88,86,7568
000348,0,155,79,588,418,433,339,146787
000349,0,241,117,650,386,409,269,110021
000350,0,203,105,619,427,416,322,133952
000351,0,332,140,631,374,299,234,69966
000352,1,131,105,277,237,146,132,19272
000353,0,240,210,390,355,150,145,21750
000354,1,164,99,314,230,150,131,19650
000355,1,277,53,484,249,207,196,40572
000356,0,427,115,491,163,64,48,3072
000357,0,365,211,538,386,173,175,30275
000358,0,245,193,434,379,189,186,35154
000359,0,354,260,388,299,34,39,1326
000360,0,224,126,587,333,363,207,75141
000361,0,277,130,519,264,242,134,32428
000362,0,283,106,437,229,154,123,18942
000363,0,90,86,635,391,545,305,166225
000364,0,129,105,522,423,393,318,124974
000365,0,371,191,411,209,40,18,720
000366,0,500,188,569,252,69,64,4416
000367,0,208,87,317,195,109,108,11772
000368,0,177,87,206,112,29,25,725
000369,0,218,95,319,154,101,59,5959
000370,0,356,90,400,122,44,32,1408
000371,0,192,127,374,258,182,131,23842
000372,0,205,122,372,243,167,121,20207
000373,0,290,279,397,350,107,71,7597
000374,0,429,181,522,259,93,78,7254
000375,0,311,207,380,278,69,71,4899
000376,0,360,167,466,232,106,65,6890
000377,0,140,63,630,327,490,264,129360
000378,0,128,61,561,323,433,262,113446
000379,0,189,192,225,238,36,46,1656
000380,0,372,359,389,389,17,30,510
000381,0,537,220,651,359,114,139,15846
000382,0,490,234,614,368,124,134,16616
000383,0,330,110,390,151,60,41,2460
000384,0,338,190,460,284,122,94,11468
000385,0,108,159,202,234,94,75,7050
000386,1,58,101,206,227,148,126,18648
000387,0,109,81,307,208,198,127,25146
000388,0,153,91,205,120,52,29,1508
000389,0,171,77,253,147,82,70,5740
000390,0,285,84,425,162,140,78,10920
000391,0,211,96,645,521,434,425,184450
000392,0,386,148,493,210,107,62,6634
000393,0,470,201,554,250,84,49,4116
000394,0,421,176,663,345,242,169,40898
000395,0,403,206,529,373,126,167,21042
000396,0,390,169,629,332,239,163,38957
000397,0,248,156,316,194,68,38,2584
000398,0,345,170,510,282,165,112,18480
000399,0,233,180,386,290,153,110,16830
000400,0,393,95,446,151,53,56,2968
000401,0,311,79,394,140,83,61,5063
000402,0,212,98,364,177,152,79,12008
000403,0,82,133,546,338,464,205,95120
000404,0,138,118,533,332,395,214,84530
000405,0,182,62,337,171,155,109,16895
000406,0,313,66,543,236,230,170,39100
000407,0,451,58,593,146,142,88,12496
000408,0,207,106,402,227,195,121,23595
000409,0,220,167,279,211,59,44,2596
000410,0,235,217,303,265,68,48,3264
000411,1,178,125,323,251,145,126,18270
000412,1,191,80,348,245,157,165,25905
000413,0,351,60,514,136,163,76,12388
000414,0,296,148,473,239,177,91,16107
000415,0,436,150,530,207,94,57,5358
000416,1,168,114,352,243,184,129,23736
000417,0,145,139,627,385,482,246,118572
000418,0,36,143,400,349,364,206,74984
000419,0,123,158,239,254,116,96,11136
000420,0,273,130,297,162,24,32,768
000421,0,365,98,388,130,23,32,736
000422,0,608,193,638,223,30,30,900
000423,0,347,159,429,228,82,69,5658
000424,0,428,161,499,231,71,70,4970
000425,0,482,81,519,119,37,38,1406
000426,0,280,158,501,248,221,90,19890
000427,0,232,108,606,357,374,249,93126
000428,0,192,261,259,313,67,52,3484
000429,0,302,126,465,252,163,126,20538
000430,0,475,237,546,282,71,45,3195
000431,0,263,106,366,155,103,49,5047
000432,0,281,162,324,216,43,54,2322
000433,0,435,172,480,211,45,39,1755
000434,0,511,93,662,203,151,110,16610
000435,0,290,161,482,282,192,121,23232
000436,0,325,116,399,169,74,53,3922
000437,0,168,189,357,391,189,202,38178
000438,0,224,220,433,423,209,203,42427
000439,0,253,113,541,268,288,155,44640
000440,0,104,105,767,435,663,330,218790
000441,0,297,125,570,245,273,120,32760
000442,0,284,114,314,152,30,38,1140
000443,0,514,171,661,308,147,137,20139
000444,0,316,147,458,276,142,129,18318
000445,0,139,163,216,228,77,65,5005
000446,0,347,103,421,151,74,48,3552
000447,0,104,81,233,194,129,113,14577
000448,0,307,215,352,267,45,52,2340
000449,0,260,224,301,292,41,68,2788
000450,0,403,91,454,133,51,42,2142
000451,0,276,141,429,236,153,95,14535
000452,0,244,192,309,239,65,47,3055
000453,0,350,188,404,230,54,42,2268
000454,0,268,116,314,145,46,29,1334
000455,0,352,66,494,164,142,98,13916
000456,0,179,169,297,259,118,90,10620
000457,0,131,178,203,231,72,53,3816
000458,0,225,141,366,214,141,73,10293
000459,0,179,93,212,115,33,22,726
000460,0,223,123,354,188,131,65,8515
000461,0,195,119,325,188,130,69,8970
000462,0,315,168,386,218,71,50,3550
000463,0,245,175,293,227,48,52,2496
000464,1,229,130,402,264,173,134,23182
000465,0,490,67,610,129,120,62,7440
000466,0,263,147,341,210,78,63,4914
000467,0,80,107,445,346,365,239,87235
000468,0,90,58,433,335,343,277,95011
000469,0,411,240,507,305,96,65,6240
000470,0,381,122,544,224,163,102,16626
000471,0,356,172,539,312,183,140,25620
000472,0,385,182,559,320,174,138,24012
000473,0,130,159,338,289,208,130,27040
000474,0,138,112,229,187,91,75,6825
000475,0,289,183,333,219,44,36,1584
000476,0,503,134,550,186,47,52,2444
000477,0,243,195,269,228,26,33,858
000478,0,390,126,426,167,36,41,1476
000479,0,332,131,373,171,41,40,1640
000480,0,220,168,284,230,64,62,3968
000481,0,416,197,492,275,76,78,5928
000482,1,273,60,441,197,168,137,23016
000483,1,271,67,452,210,181,143,25883
000484,0,196,87,247,129,51,42,2142
000485,0,145,153,282,246,137,93,12741
000486,0,305,82,341,109,36,27,972
000487,0,289,118,334,162,45,44,1980
000488,0,468,123,501,150,33,27,891
000489,0,500,146,556,186,56,40,2240
000490,0,346,194,436,238,90,44,3960
000491,0,306,248,358,291,52,43,2236
000492,1,272,56,449,195,177,139,24603
000493,0,390,214,531,320,141,106,14946
000494,0,387,218,524,322,137,104,14248
000495,0,536,217,627,271,91,54,4914
000496,0,52,47,463,269,411,222,91242
000497,0,478,138,648,258,170,120,20400
000498,1,284,51,447,189,163,138,22494
000499,0,215,172,259,211,44,39,1716
000500,1,231,57,410,198,179,141,25239
000501,0,250,86,598,326,348,240,83520
000502,0,216,93,570,336,354,243,86022
000503,0,204,79,567,337,363,258,93654
000504,0,424,118,492,158,68,40,2720
000505,0,155,238,249,308,94,70,6580
000506,0,306,195,473,309,167,114,19038
000507,0,259,186,305,230,46,44,2024
000508,0,289,135,352,191,63,56,3528
000509,0,187,93,582,328,395,235,92825
000510,0,251,121,272,150,21,29,609
000511,0,236,158,259,192,23,34,782
000512,1,178,53,404,203,226,150,33900
000513,1,227,60,394,212,167,152,25384
000514,0,342,127,454,184,112,57,6384
000515,0,281,109,337,154,56,45,2520
000516,0,358,164,413,207,55,43,2365
000517,0,260,188,312,223,52,35,1820
000518,0,271,111,357,171,86,60,5160
000519,0,253,188,361,271,108,83,8964
000520,1,210,184,403,314,193,130,25090
000521,0,346,174,495,296,149,122,18178
000522,0,365,176,510,284,145,108,15660
000523,0,280,169,401,277,121,108,13068
000524,0,239,127,416,227,177,100,17700
000525,0,421,168,465,210,44,42,1848
000526,1,311,196,441,318,130,122,15860
000527,0,484,235,517,275,33,40,1320
000528,0,134,78,309,149,175,71,12425
000529,0,301,288,395,328,94,40,3760
000530,0,416,270,450,308,34,38,1292
000531,0,311,68,342,103,31,35,1085
000532,0,411,206,581,328,170,122,20740
000533,0,337,180,394,226,57,46,2622
000534,0,402,275,499,362,97,87,8439
000535,0,145,170,295,286,150,116,17400
000536,0,425,130,525,199,100,69,6900
000537,0,197,106,316,215,119,109,12971
000538,0,272,140,308,178,36,38,1368
000539,1,410,187,579,297,169,110,18590
000540,0,137,156,570,410,433,254,109982
000541,0,453,264,546,303,93,39,3627
000542,0,191,245,233,279,42,34,1428
000543,0,225,97,301,143,76,46,3496
000544,0,381,224,436,271,55,47,2585
000545,0,251,200,301,238,50,38,1900
000546,0,299,148,377,204,78,56,4368
000547,0,373,105,581,227,208,122,25376
000548,0,313,191,402,250,89,59,5251
000549,0,474,219,504,248,30,29,870
000550,0,500,99,581,137,81,38,3078
000551,0,133,72,296,154,163,82,13366
000552,0,411,125,458,163,47,38,1786
000553,0,514,154,628,234,114,80,9120
000554,0,338,223,397,251,59,28,1652
000555,0,260,182,299,215,39,33,1287
000556,0,344,160,399,200,55,40,2200
000557,0,370,113,448,171,78,58,4524
000558,0,299,129,386,174,87,45,3915
000559,0,123,99,313,179,190,80,15200
000560,0,167,95,333,188,166,93,15438
000561,0,340,105,376,140,36,35,1260
000562,0,388,126,425,159,37,33,1221
000563,1,309,57,393,140,84,83,6972
000564,1,323,182,406,278,83,96,7968
000565,0,103,196,303,306,200,110,22000
000566,0,323,129,362,166,39,37,1443
000567,0,219,137,259,159,40,22,880
000568,0,220,60,397,167,177,107,18939
000569,0,217,57,373,127,156,70,10920
000570,0,83,130,143,171,60,41,2460
000571,0,189,62,551,335,362,273,98826
000572,0,74,123,212,302,138,179,24702
000573,0,223,65,527,317,304,252,76608
000574,0,428,93,603,203,175,110,19250
000575,0,334,125,385,159,51,34,1734
000576,0,382,155,417,210,35,55,1925
000577,0,288,98,526,226,238,128,30464
000578,0,197,146,279,186,82,40,3280
000579,0,197,129,253,167,56,38,2128
000580,0,143,106,578,345,435,239,103965
000581,0,150,121,200,170,50,49,2450
000582,0,311,142,353,187,42,45,1890
000583,0,273,112,312,159,39,47,1833
000584,0,262,113,297,146,35,33,1155
000585,0,259,82,306,119,47,37,1739
000586,0,409,89,468,142,59,53,3127
000587,0,235,135,287,178,52,43,2236
000588,0,261,131,497,234,236,103,24308
000589,0,345,90,404,126,59,36,2124
000590,0,346,109,396,133,50,24,1200
000591,0,327,78,472,183,145,105,15225
000592,0,448,330,539,393,91,63,5733
000593,0,257,126,360,190,103,64,6592
000594,0,353,166,470,306,117,140,16380
000595,0,275,193,328,235,53,42,2226
000596,0,295,119,350,164,55,45,2475
000597,0,342,95,424,148,82,53,4346
000598,0,168,123,220,166,52,43,2236
000599,0,374,167,593,294,219,127,27813
000600,0,318,101,378,124,60,23,1380
000601,0,249,217,330,272,81,55,4455
000602,0,511,163,639,294,128,131,16768
000603,0,381,118,589,256,208,138,28704
000604,0,265,159,325,214,60,55,3300
000605,0,288,158,357,215,69,57,3933
000606,0,434,143,497,202,63,59,3717
000607,0,316,86,361,142,45,56,2520
000608,0,300,105,332,134,32,29,928
000609,0,341,133,381,159,40,26,1040
000610,0,259,138,320,176,61,38,2318
000611,0,448,212,485,243,37,31,1147
000612,0,394,53,497,114,103,61,6283
000613,0,295,39,404,109,109,70,7630
000614,0,245,45,381,102,136,57,7752
000615,0,197,117,272,148,75,31,2325
000616,0,240,204,350,327,110,123,13530
000617,0,373,159,489,226,116,67,7772
000618,1,185,139,271,224,86,85,7310
000619,1,157,143,245,227,88,84,7392
000620,1,174,154,261,243,87,89,7743
000621,0,442,362,605,526,163,164,26732
000622,0,442,322,624,492,182,170,30940
000623,0,424,336,584,505,160,169,27040
000624,0,357,173,668,443,311,270,83970
000625,0,211,126,608,413,397,287,113939
000626,0,381,325,551,495,170,170,28900
000627,1,268,146,392,260,124,114,14136
000628,0,404,177,500,225,96,48,4608
000629,1,535,140,639,199,104,59,6136
000630,0,469,186,544,242,75,56,4200
000631,0,551,174,729,308,178,134,23852
000632,0,172,49,450,286,278,237,65886
000633,0,280,167,402,252,122,85,10370
000634,0,185,30,502,246,317,216,68472
000635,0,276,72,386,183,110,111,12210
000636,0,281,66,607,333,326,267,87042
000637,0,287,58,422,172,135,114,15390
000638,0,224,155,588,401,364,246,89544
000639,0,328,133,412,186,84,53,4452
000640,0,473,152,535,194,62,42,2604
000641,0,317,147,362,192,45,45,2025
000642,0,304,164,546,339,242,175,42350
000643,0,201,150,268,201,67,51,3417
000644,0,234,160,299,206,65,46,2990
000645,0,207,139,321,248,114,109,12426
000646,1,495,145,576,199,81,54,4374
000647,1,167,59,490,271,323,212,68476
000648,0,203,81,404,179,201,98,19698
000649,0,372,118,502,203,130,85,11050
000650,0,199,211,277,312,78,101,7878
000651,0,321,236,476,328,155,92,14260
000652,0,311,170,454,279,143,109,15587
000653,0,287,171,454,291,167,120,20040
000654,0,369,180,478,320,109,140,15260
000655,0,330,29,528,161,198,132,26136
000656,0,434,195,473,242,39,47,1833
000657,0,330,89,438,182,108,93,10044
000658,0,410,107,489,180,79,73,5767
000659,0,299,110,410,178,111,68,7548
000660,0,504,271,550,319,46,48,2208
000661,0,95,101,541,389,446,288,128448
000662,0,166,129,246,185,80,56,4480
000663,0,78,41,331,269,253,228,57684
000664,0,300,135,361,168,61,33,2013
000665,0,295,109,333,152,38,43,1634
000666,1,337,89,514,238,177,149,26373
000667,1,203,79,546,326,343,247,84721
000668,1,179,177,355,321,176,144,25344
000669,0,378,111,493,184,115,73,8395
000670,0,132,43,306,125,174,82,14268
000671,0,342,84,384,133,42,49,2058
000672,0,135,216,286,276,151,60,9060
000673,0,110,157,178,235,68,78,5304
000674,0,279,153,517,367,238,214,50932
000675,0,265,135,353,192,88,57,5016
000676,0,409,184,453,231,44,47,2068
000677,0,281,188,337,238,56,50,2800
000678,0,237,166,273,200,36,34,1224
000679,1,382,115,476,200,94,85,7990
000680,1,273,288,402,389,129,101,13029
000681,1,364,151,417,226,53,75,3975
000682,1,493,154,539,215,46,61,2806
000683,1,230,169,420,314,190,145,27550
000684,1,449,133,539,223,90,90,8100
000685,1,179,53,344,210,165,157,25905
000686,1,342,111,472,183,130,72,9360
000687,1,357,45,559,187,202,142,28684
000688,1,396,53,569,183,173,130,22490
000689,1,333,53,501,199,168,146,24528
000690,1,292,130,428,232,136,102,13872
000691,1,231,69,344,160,113,91,10283
000692,1,326,91,420,171,94,80,7520
000693,1,296,109,392,222,96,113,10848
000694,1,316,142,433,208,117,66,7722
000695,1,311,118,475,214,164,96,15744
000696,1,336,47,497,186,161,139,22379
